city,city_ascii,state_id,state_name,county_name,population,state_hierarchy,county_hierarchy,city_hierarchy
Ketchikan,Ketchikan,AK,Alaska,Ketchikan Gateway,10652,world.usa.alaska,world.usa.alaska.ketchikan gateway,world.usa.alaska.ketchikan gateway.ketchikan
Tanaina,Tanaina,AK,Alaska,Matanuska-Susitna,10520,world.usa.alaska,world.usa.alaska.matanuska-susitna,world.usa.alaska.matanuska-susitna.tanaina
Kodiak,Kodiak,AK,Alaska,Kodiak Island,8851,world.usa.alaska,world.usa.alaska.kodiak island,world.usa.alaska.kodiak island.kodiak
Phoenix,Phoenix,AZ,Arizona,Maricopa,4219697,world.usa.arizona,world.usa.arizona.maricopa,world.usa.arizona.maricopa.phoenix
Tucson,Tucson,AZ,Arizona,Pima,888486,world.usa.arizona,world.usa.arizona.pima,world.usa.arizona.pima.tucson
Mesa,Mesa,AZ,Arizona,Maricopa,518012,world.usa.arizona,world.usa.arizona.maricopa,world.usa.arizona.maricopa.mesa
Chandler,Chandler,AZ,Arizona,Maricopa,261165,world.usa.arizona,world.usa.arizona.maricopa,world.usa.arizona.maricopa.chandler
Scottsdale,Scottsdale,AZ,Arizona,Maricopa,258069,world.usa.arizona,world.usa.arizona.maricopa,world.usa.arizona.maricopa.scottsdale
Gilbert,Gilbert,AZ,Arizona,Maricopa,254114,world.usa.arizona,world.usa.arizona.maricopa,world.usa.arizona.maricopa.gilbert
Glendale,Glendale,AZ,Arizona,Maricopa,252381,world.usa.arizona,world.usa.arizona.maricopa,world.usa.arizona.maricopa.glendale
Avondale,Avondale,AZ,Arizona,Maricopa,227289,world.usa.arizona,world.usa.arizona.maricopa,world.usa.arizona.maricopa.avondale
Tempe,Tempe,AZ,Arizona,Maricopa,195805,world.usa.arizona,world.usa.arizona.maricopa,world.usa.arizona.maricopa.tempe
Peoria,Peoria,AZ,Arizona,Maricopa,175961,world.usa.arizona,world.usa.arizona.maricopa,world.usa.arizona.maricopa.peoria
Little Rock,Little Rock,AR,Arkansas,Pulaski,439815,world.usa.arkansas,world.usa.arkansas.pulaski,world.usa.arkansas.pulaski.little rock
Fayetteville,Fayetteville,AR,Arkansas,Washington,351246,world.usa.arkansas,world.usa.arkansas.washington,world.usa.arkansas.washington.fayetteville
Fort Smith,Fort Smith,AR,Arkansas,Sebastian,125354,world.usa.arkansas,world.usa.arkansas.sebastian,world.usa.arkansas.sebastian.fort smith
Springdale,Springdale,AR,Arkansas,Washington,81125,world.usa.arkansas,world.usa.arkansas.washington,world.usa.arkansas.washington.springdale
Jonesboro,Jonesboro,AR,Arkansas,Craighead,76247,world.usa.arkansas,world.usa.arkansas.craighead,world.usa.arkansas.craighead.jonesboro
Conway,Conway,AR,Arkansas,Faulkner,74951,world.usa.arkansas,world.usa.arkansas.faulkner,world.usa.arkansas.faulkner.conway
Rogers,Rogers,AR,Arkansas,Benton,68669,world.usa.arkansas,world.usa.arkansas.benton,world.usa.arkansas.benton.rogers
North Little Rock,North Little Rock,AR,Arkansas,Pulaski,65903,world.usa.arkansas,world.usa.arkansas.pulaski,world.usa.arkansas.pulaski.north little rock
Hot Springs,Hot Springs,AR,Arkansas,Garland,60767,world.usa.arkansas,world.usa.arkansas.garland,world.usa.arkansas.garland.hot springs
Bentonville,Bentonville,AR,Arkansas,Benton,54909,world.usa.arkansas,world.usa.arkansas.benton,world.usa.arkansas.benton.bentonville
Los Angeles,Los Angeles,CA,California,Los Angeles,12750807,world.usa.california,world.usa.california.los angeles,world.usa.california.los angeles.los angeles
San Francisco,San Francisco,CA,California,San Francisco,3592294,world.usa.california,world.usa.california.san francisco,world.usa.california.san francisco.san francisco
San Diego,San Diego,CA,California,San Diego,3220118,world.usa.california,world.usa.california.san diego,world.usa.california.san diego.san diego
Riverside,Riverside,CA,California,Riverside,2107852,world.usa.california,world.usa.california.riverside,world.usa.california.riverside.riverside
Sacramento,Sacramento,CA,California,Sacramento,1898019,world.usa.california,world.usa.california.sacramento,world.usa.california.sacramento.sacramento
San Jose,San Jose,CA,California,Santa Clara,1798103,world.usa.california,world.usa.california.santa clara,world.usa.california.santa clara.san jose
Fresno,Fresno,CA,California,Fresno,703498,world.usa.california,world.usa.california.fresno,world.usa.california.fresno.fresno
Concord,Concord,CA,California,Contra Costa,652308,world.usa.california,world.usa.california.contra costa,world.usa.california.contra costa.concord
Mission Viejo,Mission Viejo,CA,California,Orange,590249,world.usa.california,world.usa.california.orange,world.usa.california.orange.mission viejo
Bakersfield,Bakersfield,CA,California,Kern,579295,world.usa.california,world.usa.california.kern,world.usa.california.kern.bakersfield
Denver,Denver,CO,Colorado,Denver,2876625,world.usa.colorado,world.usa.colorado.denver,world.usa.colorado.denver.denver
Colorado Springs,Colorado Springs,CO,Colorado,El Paso,642413,world.usa.colorado,world.usa.colorado.el paso,world.usa.colorado.el paso.colorado springs
Aurora,Aurora,CO,Colorado,Adams,379289,world.usa.colorado,world.usa.colorado.adams,world.usa.colorado.adams.aurora
Fort Collins,Fort Collins,CO,Colorado,Larimer,312666,world.usa.colorado,world.usa.colorado.larimer,world.usa.colorado.larimer.fort collins
Lakewood,Lakewood,CO,Colorado,Jefferson,157935,world.usa.colorado,world.usa.colorado.jefferson,world.usa.colorado.jefferson.lakewood
Pueblo,Pueblo,CO,Colorado,Pueblo,143932,world.usa.colorado,world.usa.colorado.pueblo,world.usa.colorado.pueblo.pueblo
Thornton,Thornton,CO,Colorado,Adams,141464,world.usa.colorado,world.usa.colorado.adams,world.usa.colorado.adams.thornton
Grand Junction,Grand Junction,CO,Colorado,Mesa,139143,world.usa.colorado,world.usa.colorado.mesa,world.usa.colorado.mesa.grand junction
Greeley,Greeley,CO,Colorado,Weld,137810,world.usa.colorado,world.usa.colorado.weld,world.usa.colorado.weld.greeley
Boulder,Boulder,CO,Colorado,Boulder,124345,world.usa.colorado,world.usa.colorado.boulder,world.usa.colorado.boulder.boulder
Bridgeport,Bridgeport,CT,Connecticut,Fairfield,924449,world.usa.connecticut,world.usa.connecticut.fairfield,world.usa.connecticut.fairfield.bridgeport
Hartford,Hartford,CT,Connecticut,Hartford,905152,world.usa.connecticut,world.usa.connecticut.hartford,world.usa.connecticut.hartford.hartford
New Haven,New Haven,CT,Connecticut,New Haven,564830,world.usa.connecticut,world.usa.connecticut.new haven,world.usa.connecticut.new haven.new haven
Norwich,Norwich,CT,Connecticut,New London,200289,world.usa.connecticut,world.usa.connecticut.new london,world.usa.connecticut.new london.norwich
Waterbury,Waterbury,CT,Connecticut,New Haven,189614,world.usa.connecticut,world.usa.connecticut.new haven,world.usa.connecticut.new haven.waterbury
Danbury,Danbury,CT,Connecticut,Fairfield,176030,world.usa.connecticut,world.usa.connecticut.fairfield,world.usa.connecticut.fairfield.danbury
Stamford,Stamford,CT,Connecticut,Fairfield,129638,world.usa.connecticut,world.usa.connecticut.fairfield,world.usa.connecticut.fairfield.stamford
Norwalk,Norwalk,CT,Connecticut,Fairfield,88816,world.usa.connecticut,world.usa.connecticut.fairfield,world.usa.connecticut.fairfield.norwalk
New Britain,New Britain,CT,Connecticut,Hartford,72495,world.usa.connecticut,world.usa.connecticut.hartford,world.usa.connecticut.hartford.new britain
West Hartford,West Hartford,CT,Connecticut,Hartford,63127,world.usa.connecticut,world.usa.connecticut.hartford,world.usa.connecticut.hartford.west hartford
Dover,Dover,DE,Delaware,Kent,117282,world.usa.delaware,world.usa.delaware.kent,world.usa.delaware.kent.dover
Wilmington,Wilmington,DE,Delaware,New Castle,70166,world.usa.delaware,world.usa.delaware.new castle,world.usa.delaware.new castle.wilmington
Middletown,Middletown,DE,Delaware,New Castle,35695,world.usa.delaware,world.usa.delaware.new castle,world.usa.delaware.new castle.middletown
Newark,Newark,DE,Delaware,New Castle,33515,world.usa.delaware,world.usa.delaware.new castle,world.usa.delaware.new castle.newark
Lewes,Lewes,DE,Delaware,Sussex,29187,world.usa.delaware,world.usa.delaware.sussex,world.usa.delaware.sussex.lewes
Milford,Milford,DE,Delaware,Sussex,22102,world.usa.delaware,world.usa.delaware.sussex,world.usa.delaware.sussex.milford
Bear,Bear,DE,Delaware,New Castle,21362,world.usa.delaware,world.usa.delaware.new castle,world.usa.delaware.new castle.bear
Ocean View,Ocean View,DE,Delaware,Sussex,14360,world.usa.delaware,world.usa.delaware.sussex,world.usa.delaware.sussex.ocean view
Glasgow,Glasgow,DE,Delaware,New Castle,14342,world.usa.delaware,world.usa.delaware.new castle,world.usa.delaware.new castle.glasgow
Hockessin,Hockessin,DE,Delaware,New Castle,13472,world.usa.delaware,world.usa.delaware.new castle,world.usa.delaware.new castle.hockessin
Washington,Washington,DC,District of Columbia,District of Columbia,5379184,world.usa.district of columbia,world.usa.district of columbia.district of columbia,world.usa.district of columbia.district of columbia.washington
Miami,Miami,FL,Florida,Miami-Dade,6445545,world.usa.florida,world.usa.florida.miami-dade,world.usa.florida.miami-dade.miami
Tampa,Tampa,FL,Florida,Hillsborough,2908063,world.usa.florida,world.usa.florida.hillsborough,world.usa.florida.hillsborough.tampa
Orlando,Orlando,FL,Florida,Orange,1822394,world.usa.florida,world.usa.florida.orange,world.usa.florida.orange.orlando
Jacksonville,Jacksonville,FL,Florida,Duval,1181496,world.usa.florida,world.usa.florida.duval,world.usa.florida.duval.jacksonville
Sarasota,Sarasota,FL,Florida,Sarasota,722243,world.usa.florida,world.usa.florida.sarasota,world.usa.florida.sarasota.sarasota
Cape Coral,Cape Coral,FL,Florida,Lee,668382,world.usa.florida,world.usa.florida.lee,world.usa.florida.lee.cape coral
Palm Bay,Palm Bay,FL,Florida,Brevard,507002,world.usa.florida,world.usa.florida.brevard,world.usa.florida.brevard.palm bay
Port St. Lucie,Port St. Lucie,FL,Florida,St. Lucie,461152,world.usa.florida,world.usa.florida.st. lucie,world.usa.florida.st. lucie.port st. lucie
Bonita Springs,Bonita Springs,FL,Florida,Lee,421291,world.usa.florida,world.usa.florida.lee,world.usa.florida.lee.bonita springs
Palm Coast,Palm Coast,FL,Florida,Flagler,417007,world.usa.florida,world.usa.florida.flagler,world.usa.florida.flagler.palm coast
Atlanta,Atlanta,GA,Georgia,Fulton,5449398,world.usa.georgia,world.usa.georgia.fulton,world.usa.georgia.fulton.atlanta
Augusta,Augusta,GA,Georgia,Richmond,390809,world.usa.georgia,world.usa.georgia.richmond,world.usa.georgia.richmond.augusta
Savannah,Savannah,GA,Georgia,Chatham,276295,world.usa.georgia,world.usa.georgia.chatham,world.usa.georgia.chatham.savannah
Columbus,Columbus,GA,Georgia,Muscogee,261445,world.usa.georgia,world.usa.georgia.muscogee,world.usa.georgia.muscogee.columbus
Gainesville,Gainesville,GA,Georgia,Hall,167371,world.usa.georgia,world.usa.georgia.hall,world.usa.georgia.hall.gainesville
Warner Robins,Warner Robins,GA,Georgia,Houston,155140,world.usa.georgia,world.usa.georgia.houston,world.usa.georgia.houston.warner robins
Macon,Macon,GA,Georgia,Bibb,153159,world.usa.georgia,world.usa.georgia.bibb,world.usa.georgia.bibb.macon
Athens,Athens,GA,Georgia,Clarke,141532,world.usa.georgia,world.usa.georgia.clarke,world.usa.georgia.clarke.athens
Sandy Springs,Sandy Springs,GA,Georgia,Fulton,109452,world.usa.georgia,world.usa.georgia.fulton,world.usa.georgia.fulton.sandy springs
South Fulton,South Fulton,GA,Georgia,Fulton,99155,world.usa.georgia,world.usa.georgia.fulton,world.usa.georgia.fulton.south fulton
Honolulu,Honolulu,HI,Hawaii,Honolulu,820987,world.usa.hawaii,world.usa.hawaii.honolulu,world.usa.hawaii.honolulu.honolulu
East Honolulu,East Honolulu,HI,Hawaii,Honolulu,47770,world.usa.hawaii,world.usa.hawaii.honolulu,world.usa.hawaii.honolulu.east honolulu
Hilo,Hilo,HI,Hawaii,Hawaii,46284,world.usa.hawaii,world.usa.hawaii.hawaii,world.usa.hawaii.hawaii.hilo
Pearl City,Pearl City,HI,Hawaii,Honolulu,46129,world.usa.hawaii,world.usa.hawaii.honolulu,world.usa.hawaii.honolulu.pearl city
Waipahu,Waipahu,HI,Hawaii,Honolulu,40427,world.usa.hawaii,world.usa.hawaii.honolulu,world.usa.hawaii.honolulu.waipahu
Kailua,Kailua,HI,Hawaii,Honolulu,36662,world.usa.hawaii,world.usa.hawaii.honolulu,world.usa.hawaii.honolulu.kailua
Kaneohe,Kaneohe,HI,Hawaii,Honolulu,33739,world.usa.hawaii,world.usa.hawaii.honolulu,world.usa.hawaii.honolulu.kaneohe
Kahului,Kahului,HI,Hawaii,Maui,32312,world.usa.hawaii,world.usa.hawaii.maui,world.usa.hawaii.maui.kahului
Mililani Town,Mililani Town,HI,Hawaii,Honolulu,27926,world.usa.hawaii,world.usa.hawaii.honolulu,world.usa.hawaii.honolulu.mililani town
Ewa Gentry,Ewa Gentry,HI,Hawaii,Honolulu,25752,world.usa.hawaii,world.usa.hawaii.honolulu,world.usa.hawaii.honolulu.ewa gentry
Boise,Boise,ID,Idaho,Ada,389280,world.usa.idaho,world.usa.idaho.ada,world.usa.idaho.ada.boise
Nampa,Nampa,ID,Idaho,Canyon,184428,world.usa.idaho,world.usa.idaho.canyon,world.usa.idaho.canyon.nampa
Coeur d'Alene,Coeur d'Alene,ID,Idaho,Kootenai,116834,world.usa.idaho,world.usa.idaho.kootenai,world.usa.idaho.kootenai.coeur d'alene
Meridian,Meridian,ID,Idaho,Ada,114161,world.usa.idaho,world.usa.idaho.ada,world.usa.idaho.ada.meridian
Idaho Falls,Idaho Falls,ID,Idaho,Bonneville,100442,world.usa.idaho,world.usa.idaho.bonneville,world.usa.idaho.bonneville.idaho falls
Pocatello,Pocatello,ID,Idaho,Bannock,72878,world.usa.idaho,world.usa.idaho.bannock,world.usa.idaho.bannock.pocatello
Caldwell,Caldwell,ID,Idaho,Canyon,58481,world.usa.idaho,world.usa.idaho.canyon,world.usa.idaho.canyon.caldwell
Twin Falls,Twin Falls,ID,Idaho,Twin Falls,55556,world.usa.idaho,world.usa.idaho.twin falls,world.usa.idaho.twin falls.twin falls
Lewiston,Lewiston,ID,Idaho,Nez Perce,53384,world.usa.idaho,world.usa.idaho.nez perce,world.usa.idaho.nez perce.lewiston
Post Falls,Post Falls,ID,Idaho,Kootenai,36250,world.usa.idaho,world.usa.idaho.kootenai,world.usa.idaho.kootenai.post falls
Chicago,Chicago,IL,Illinois,Cook,8604203,world.usa.illinois,world.usa.illinois.cook,world.usa.illinois.cook.chicago
Rockford,Rockford,IL,Illinois,Winnebago,282762,world.usa.illinois,world.usa.illinois.winnebago,world.usa.illinois.winnebago.rockford
Round Lake Beach,Round Lake Beach,IL,Illinois,Lake,279381,world.usa.illinois,world.usa.illinois.lake,world.usa.illinois.lake.round lake beach
Peoria,Peoria,IL,Illinois,Peoria,256286,world.usa.illinois,world.usa.illinois.peoria,world.usa.illinois.peoria.peoria
Aurora,Aurora,IL,Illinois,Kane,197757,world.usa.illinois,world.usa.illinois.kane,world.usa.illinois.kane.aurora
Champaign,Champaign,IL,Illinois,Champaign,159443,world.usa.illinois,world.usa.illinois.champaign,world.usa.illinois.champaign.champaign
Springfield,Springfield,IL,Illinois,Sangamon,158509,world.usa.illinois,world.usa.illinois.sangamon,world.usa.illinois.sangamon.springfield
Naperville,Naperville,IL,Illinois,DuPage,148449,world.usa.illinois,world.usa.illinois.dupage,world.usa.illinois.dupage.naperville
Joliet,Joliet,IL,Illinois,Will,147344,world.usa.illinois,world.usa.illinois.will,world.usa.illinois.will.joliet
Bloomington,Bloomington,IL,Illinois,McLean,133846,world.usa.illinois,world.usa.illinois.mclean,world.usa.illinois.mclean.bloomington
Indianapolis,Indianapolis,IN,Indiana,Marion,1588961,world.usa.indiana,world.usa.indiana.marion,world.usa.indiana.marion.indianapolis
Fort Wayne,Fort Wayne,IN,Indiana,Allen,334122,world.usa.indiana,world.usa.indiana.allen,world.usa.indiana.allen.fort wayne
South Bend,South Bend,IN,Indiana,St. Joseph,280498,world.usa.indiana,world.usa.indiana.st. joseph,world.usa.indiana.st. joseph.south bend
Evansville,Evansville,IN,Indiana,Vanderburgh,230427,world.usa.indiana,world.usa.indiana.vanderburgh,world.usa.indiana.vanderburgh.evansville
Lafayette,Lafayette,IN,Indiana,Tippecanoe,157820,world.usa.indiana,world.usa.indiana.tippecanoe,world.usa.indiana.tippecanoe.lafayette
Elkhart,Elkhart,IN,Indiana,Elkhart,147567,world.usa.indiana,world.usa.indiana.elkhart,world.usa.indiana.elkhart.elkhart
Bloomington,Bloomington,IN,Indiana,Monroe,115884,world.usa.indiana,world.usa.indiana.monroe,world.usa.indiana.monroe.bloomington
Carmel,Carmel,IN,Indiana,Hamilton,101068,world.usa.indiana,world.usa.indiana.hamilton,world.usa.indiana.hamilton.carmel
Fishers,Fishers,IN,Indiana,Hamilton,95310,world.usa.indiana,world.usa.indiana.hamilton,world.usa.indiana.hamilton.fishers
Terre Haute,Terre Haute,IN,Indiana,Vigo,92490,world.usa.indiana,world.usa.indiana.vigo,world.usa.indiana.vigo.terre haute
Des Moines,Des Moines,IA,Iowa,Polk,473957,world.usa.iowa,world.usa.iowa.polk,world.usa.iowa.polk.des moines
Davenport,Davenport,IA,Iowa,Scott,285362,world.usa.iowa,world.usa.iowa.scott,world.usa.iowa.scott.davenport
Cedar Rapids,Cedar Rapids,IA,Iowa,Linn,188038,world.usa.iowa,world.usa.iowa.linn,world.usa.iowa.linn.cedar rapids
Iowa City,Iowa City,IA,Iowa,Johnson,118041,world.usa.iowa,world.usa.iowa.johnson,world.usa.iowa.johnson.iowa city
Waterloo,Waterloo,IA,Iowa,Black Hawk,111631,world.usa.iowa,world.usa.iowa.black hawk,world.usa.iowa.black hawk.waterloo
Sioux City,Sioux City,IA,Iowa,Woodbury,106455,world.usa.iowa,world.usa.iowa.woodbury,world.usa.iowa.woodbury.sioux city
Dubuque,Dubuque,IA,Iowa,Dubuque,68109,world.usa.iowa,world.usa.iowa.dubuque,world.usa.iowa.dubuque.dubuque
Ames,Ames,IA,Iowa,Story,67910,world.usa.iowa,world.usa.iowa.story,world.usa.iowa.story.ames
West Des Moines,West Des Moines,IA,Iowa,Polk,67899,world.usa.iowa,world.usa.iowa.polk,world.usa.iowa.polk.west des moines
Ankeny,Ankeny,IA,Iowa,Polk,67355,world.usa.iowa,world.usa.iowa.polk,world.usa.iowa.polk.ankeny
Wichita,Wichita,KS,Kansas,Sedgwick,482249,world.usa.kansas,world.usa.kansas.sedgwick,world.usa.kansas.sedgwick.wichita
Overland Park,Overland Park,KS,Kansas,Johnson,195494,world.usa.kansas,world.usa.kansas.johnson,world.usa.kansas.johnson.overland park
Kansas City,Kansas City,KS,Kansas,Wyandotte,152960,world.usa.kansas,world.usa.kansas.wyandotte,world.usa.kansas.wyandotte.kansas city
Topeka,Topeka,KS,Kansas,Shawnee,147458,world.usa.kansas,world.usa.kansas.shawnee,world.usa.kansas.shawnee.topeka
Olathe,Olathe,KS,Kansas,Johnson,140545,world.usa.kansas,world.usa.kansas.johnson,world.usa.kansas.johnson.olathe
Lawrence,Lawrence,KS,Kansas,Douglas,98648,world.usa.kansas,world.usa.kansas.douglas,world.usa.kansas.douglas.lawrence
Shawnee,Shawnee,KS,Kansas,Johnson,65807,world.usa.kansas,world.usa.kansas.johnson,world.usa.kansas.johnson.shawnee
Manhattan,Manhattan,KS,Kansas,Riley,57046,world.usa.kansas,world.usa.kansas.riley,world.usa.kansas.riley.manhattan
Lenexa,Lenexa,KS,Kansas,Johnson,55625,world.usa.kansas,world.usa.kansas.johnson,world.usa.kansas.johnson.lenexa
Salina,Salina,KS,Kansas,Saline,46340,world.usa.kansas,world.usa.kansas.saline,world.usa.kansas.saline.salina
Louisville,Louisville,KY,Kentucky,Jefferson,1005654,world.usa.kentucky,world.usa.kentucky.jefferson,world.usa.kentucky.jefferson.louisville
Lexington,Lexington,KY,Kentucky,Fayette,317110,world.usa.kentucky,world.usa.kentucky.fayette,world.usa.kentucky.fayette.lexington
Bowling Green,Bowling Green,KY,Kentucky,Warren,95135,world.usa.kentucky,world.usa.kentucky.warren,world.usa.kentucky.warren.bowling green
Elizabethtown,Elizabethtown,KY,Kentucky,Hardin,78002,world.usa.kentucky,world.usa.kentucky.hardin,world.usa.kentucky.hardin.elizabethtown
Owensboro,Owensboro,KY,Kentucky,Daviess,74068,world.usa.kentucky,world.usa.kentucky.daviess,world.usa.kentucky.daviess.owensboro
Paducah,Paducah,KY,Kentucky,McCracken,48481,world.usa.kentucky,world.usa.kentucky.mccracken,world.usa.kentucky.mccracken.paducah
Richmond,Richmond,KY,Kentucky,Madison,40972,world.usa.kentucky,world.usa.kentucky.madison,world.usa.kentucky.madison.richmond
Covington,Covington,KY,Kentucky,Kenton,40341,world.usa.kentucky,world.usa.kentucky.kenton,world.usa.kentucky.kenton.covington
Frankfort,Frankfort,KY,Kentucky,Franklin,38852,world.usa.kentucky,world.usa.kentucky.franklin,world.usa.kentucky.franklin.frankfort
London,London,KY,Kentucky,Laurel,37714,world.usa.kentucky,world.usa.kentucky.laurel,world.usa.kentucky.laurel.london
New Orleans,New Orleans,LA,Louisiana,Orleans,1020886,world.usa.louisiana,world.usa.louisiana.orleans,world.usa.louisiana.orleans.new orleans
Baton Rouge,Baton Rouge,LA,Louisiana,East Baton Rouge,570308,world.usa.louisiana,world.usa.louisiana.east baton rouge,world.usa.louisiana.east baton rouge.baton rouge
Shreveport,Shreveport,LA,Louisiana,Caddo,280062,world.usa.louisiana,world.usa.louisiana.caddo,world.usa.louisiana.caddo.shreveport
Lafayette,Lafayette,LA,Louisiana,Lafayette,264357,world.usa.louisiana,world.usa.louisiana.lafayette,world.usa.louisiana.lafayette.lafayette
Lake Charles,Lake Charles,LA,Louisiana,Calcasieu,156181,world.usa.louisiana,world.usa.louisiana.calcasieu,world.usa.louisiana.calcasieu.lake charles
Metairie,Metairie,LA,Louisiana,Jefferson,143481,world.usa.louisiana,world.usa.louisiana.jefferson,world.usa.louisiana.jefferson.metairie
Houma,Houma,LA,Louisiana,Terrebonne,140469,world.usa.louisiana,world.usa.louisiana.terrebonne,world.usa.louisiana.terrebonne.houma
Monroe,Monroe,LA,Louisiana,Ouachita,112891,world.usa.louisiana,world.usa.louisiana.ouachita,world.usa.louisiana.ouachita.monroe
Mandeville,Mandeville,LA,Louisiana,St. Tammany,95968,world.usa.louisiana,world.usa.louisiana.st. tammany,world.usa.louisiana.st. tammany.mandeville
Slidell,Slidell,LA,Louisiana,St. Tammany,93040,world.usa.louisiana,world.usa.louisiana.st. tammany,world.usa.louisiana.st. tammany.slidell
Portland,Portland,ME,Maine,Cumberland,203969,world.usa.maine,world.usa.maine.cumberland,world.usa.maine.cumberland.portland
Bangor,Bangor,ME,Maine,Penobscot,59772,world.usa.maine,world.usa.maine.penobscot,world.usa.maine.penobscot.bangor
Lewiston,Lewiston,ME,Maine,Androscoggin,58802,world.usa.maine,world.usa.maine.androscoggin,world.usa.maine.androscoggin.lewiston
Sanford,Sanford,ME,Maine,York,29535,world.usa.maine,world.usa.maine.york,world.usa.maine.york.sanford
Waterville,Waterville,ME,Maine,Kennebec,27054,world.usa.maine,world.usa.maine.kennebec,world.usa.maine.kennebec.waterville
South Portland,South Portland,ME,Maine,Cumberland,25532,world.usa.maine,world.usa.maine.cumberland,world.usa.maine.cumberland.south portland
Auburn,Auburn,ME,Maine,Androscoggin,23414,world.usa.maine,world.usa.maine.androscoggin,world.usa.maine.androscoggin.auburn
Augusta,Augusta,ME,Maine,Kennebec,22116,world.usa.maine,world.usa.maine.kennebec,world.usa.maine.kennebec.augusta
Biddeford,Biddeford,ME,Maine,York,21504,world.usa.maine,world.usa.maine.york,world.usa.maine.york.biddeford
Saco,Saco,ME,Maine,York,19964,world.usa.maine,world.usa.maine.york,world.usa.maine.york.saco
Baltimore,Baltimore,MD,Maryland,Baltimore,2106068,world.usa.maryland,world.usa.maryland.baltimore,world.usa.maryland.baltimore.baltimore
Hagerstown,Hagerstown,MD,Maryland,Washington,184755,world.usa.maryland,world.usa.maryland.washington,world.usa.maryland.washington.hagerstown
Frederick,Frederick,MD,Maryland,Frederick,156787,world.usa.maryland,world.usa.maryland.frederick,world.usa.maryland.frederick.frederick
Salisbury,Salisbury,MD,Maryland,Wicomico,106447,world.usa.maryland,world.usa.maryland.wicomico,world.usa.maryland.wicomico.salisbury
Columbia,Columbia,MD,Maryland,Howard,103663,world.usa.maryland,world.usa.maryland.howard,world.usa.maryland.howard.columbia
Germantown,Germantown,MD,Maryland,Montgomery,90844,world.usa.maryland,world.usa.maryland.montgomery,world.usa.maryland.montgomery.germantown
Silver Spring,Silver Spring,MD,Maryland,Montgomery,79750,world.usa.maryland,world.usa.maryland.montgomery,world.usa.maryland.montgomery.silver spring
Waldorf,Waldorf,MD,Maryland,Charles,74587,world.usa.maryland,world.usa.maryland.charles,world.usa.maryland.charles.waldorf
Ellicott City,Ellicott City,MD,Maryland,Howard,72247,world.usa.maryland,world.usa.maryland.howard,world.usa.maryland.howard.ellicott city
Glen Burnie,Glen Burnie,MD,Maryland,Anne Arundel,69813,world.usa.maryland,world.usa.maryland.anne arundel,world.usa.maryland.anne arundel.glen burnie
Boston,Boston,MA,Massachusetts,Suffolk,4688346,world.usa.massachusetts,world.usa.massachusetts.suffolk,world.usa.massachusetts.suffolk.boston
