key,chosen_impact,title,relevance
OH-HB115-Y2019,None,"Require agencies to reduce regulatory restrictions. ","(NLU)'Law' => 'None', 'Agency' => 'None', 'Administrative law' => 'None', 'State' => 'None', 'Government agency' => 'None'"
OH-HB116-Y2019,None,"Appropriate money for transportation planning and research. ","(NLU)'Appropriation' => 'None', 'Fiscal year' => 'None', 'Appropriation' => 'None', 'United States House of Representatives' => 'None', 'United States Congress' => 'None'"
OH-HB117-Y2019,None,"Designate Frank Robinson Day. ","(NLU)'Major League Baseball' => 'None', 'Baseball' => 'None', 'Cleveland Indians' => 'None', 'San Francisco Giants' => 'None', 'Ohio' => 'Location'"
OH-HB118-Y2019,Transportation,"Regards student transportation to and from school. ","(NLU)'Education' => 'Education', 'High school' => 'Education', 'Road' => 'Transportation', 'Student' => 'Education', 'Transport Layer' => 'None'"
OH-HB119-Y2019,Transportation,"Regards traffic law violations. ","(NLU)'Bluetooth' => 'None', 'Wireless' => 'None', 'Wireless network' => 'None', 'School bus' => 'Transportation', 'History of radio' => 'None'"
OH-HB12-Y2019,Healthcare,"Create Children-s Behavioral Health Prevention Network Group. ","(NLU)'Health care' => 'Healthcare', 'Health economics' => 'Healthcare', 'Mental health' => 'Healthcare', 'Health insurance' => 'Healthcare', 'Psychology' => 'Healthcare'"
OH-HB120-Y2019,None,"Designate July as Hank Kabel Sarcoma Awareness Month. ","(NLU)'Legislatures' => 'None', 'Legislature' => 'None', 'Ohio' => 'Location', 'Akron, Ohio' => 'Location', 'United States House of Representatives' => 'None'"
OH-HB121-Y2019,Jobs,"Allow tax credit for teacher purchase of instructional materials. ","(NLU)'Taxation in the United States' => 'None', 'Tax' => 'None', 'Tax refund' => 'None', 'Income tax' => 'Jobs', 'Progressive tax' => 'None'"
OH-HB122-Y2019,None,"Create Opportunity Scholarship Program; eliminate pilot programs. ","(NLU)'High school' => 'Education', 'School types' => 'Education', 'Assessment' => 'None', 'Educational years' => 'Education', 'Fourth grade' => 'Education'"
OH-HB123-Y2020,None,"Regards school security and youth suicide awareness/training. ","(NLU)'High school' => 'Education', 'School types' => 'Education', 'Secondary education' => 'Education', 'School district' => 'Education', 'School' => 'Education'"
OH-HB124-Y2019,Jobs,"Allow small livestock on residential property. ","(NLU)'Real estate' => 'None', 'Agriculture' => 'Jobs', 'Livestock' => 'Jobs', 'Methane' => 'Environment', 'Property' => 'None'"
OH-HB125-Y2019,Transportation,"Require Second Chance Trust Fund inquiry when register vehicle. ","(NLU)'Vehicle' => 'Transportation', 'Ohio' => 'Location', 'Vehicles' => 'Transportation', 'Automobile' => 'Transportation', 'Motor vehicle' => 'Transportation'"
OH-HB126-Y2019,None,"Bar one-subject challenge more than 275 days after effective date. ","(NLU)'Ohio' => 'Location', 'Veto' => 'None', 'United States House of Representatives' => 'None', 'Akron, Ohio' => 'Location', 'Legislature' => 'None'"
OH-HB127-Y2019,None,"Prohibit new academic distress commissions. ","(NLU)'Ohio' => 'Location', 'Assembly language' => 'None', 'U.S. Securities and Exchange Commission' => 'None', 'The Creation of Adam' => 'None', 'Legislature' => 'None'"
OH-HB128-Y2019,Safety,"Modify penalties for soliciting. ","(NLU)'Inchoate offense' => 'Safety', 'Misdemeanor' => 'None', 'Solicitation' => 'None', 'Crimes' => 'Safety', 'Felony' => 'None'"
OH-HB129-Y2020,Safety,"Permit wearing hearing protection while riding motorcycle. ","(NLU)'Crime' => 'Safety', 'Automobile' => 'Transportation', 'Hearing' => 'Healthcare', 'Headgear' => 'None', 'Ear' => 'Healthcare'"
OH-HB13-Y2020,Jobs,"Establish residential broadband expansion program. ","(NLU)'Project management' => 'Jobs', 'Broadband' => 'Jobs', 'Broadband Internet access' => 'Jobs', 'Service' => 'None', 'Computer program' => 'None'"
OH-HB130-Y2019,Jobs,"Create La Salle High School license plate. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Internal Revenue Code' => 'Jobs', 'Charitable organization' => 'None', 'Non-profit organization' => 'Jobs'"
OH-HB131-Y2019,Healthcare,"Regards debt adjusting. ","(NLU)'Debt' => 'None', 'Drug control law' => 'Healthcare', 'Felony' => 'None', 'Debtor' => 'None', 'Chemical compound' => 'Unknown'"
OH-HB132-Y2019,None,"Regards school immunization requirements/exemptions. ","(NLU)'High school' => 'Education', 'School district' => 'Education', 'High school diploma' => 'Education', 'Academic term' => 'Education', 'Education' => 'Education'"
OH-HB133-Y2019,None,"Issue temporary occupational license if in Ohio for active duty. ","(NLU)'Licensure' => 'None', 'License' => 'None', 'Fiscal year' => 'None', 'Armed forces' => 'Military', 'Conscription' => 'None'"
OH-HB134-Y2019,Jobs,"Grant 3-day sales tax holiday for buying Energy Star products. ","(NLU)'Tax exemption' => 'None', 'Real estate' => 'None', 'Real property' => 'None', 'Internal Revenue Code' => 'Jobs', 'Personal property' => 'None'"
OH-HB135-Y2019,Jobs,"Expand exemptions from sales tax during sales tax holiday. ","(NLU)'Tax exemption' => 'None', 'Real estate' => 'None', 'Real property' => 'None', 'Internal Revenue Code' => 'Jobs', 'Personal property' => 'None'"
OH-HB136-Y2020,Safety,"Prohibit death penalty if mentally ill at time of offense. ","(NLU)'Criminal law' => 'None', 'Jury' => 'None', 'Crime' => 'Safety', 'Murder' => 'Safety', 'Legal terms' => 'None'"
OH-HB137-Y2019,Jobs,"Provide earnings and deductions statements to employees. ","(NLU)'Employment' => 'Jobs', 'Wage' => 'Jobs', 'Working class' => 'Jobs', 'Minimum wage' => 'Jobs'"
OH-HB138-Y2019,None,"Increase assessment cost for which must give notice. ","(NLU)'Property' => 'None', 'Ownership' => 'None', 'Assembly language' => 'None', 'Assessment' => 'None', 'The Passage' => 'None'"
OH-HB139-Y2019,Safety,"Prohibit locals from traffic photo-monitoring if no fire/EMS. ","(NLU)'Police' => 'Safety', 'Constable' => 'None', 'Emergency medical services' => 'Healthcare', 'Local government' => 'None', 'Law enforcement agency' => 'Safety'"
OH-HB14-Y2019,Safety,"Require a region-based kinship care navigator program. ","(NLU)'Family' => 'None', 'Appropriation' => 'None', 'Appropriation' => 'None', 'Consanguinity' => 'None', 'Orphanage' => 'Safety'"
OH-HB140-Y2019,Safety,"Prohibit small locals from traffic photo-monitoring. ","(NLU)'Police' => 'Safety', 'Local government' => 'None', 'Law' => 'None', 'Traffic' => 'Transportation', 'Section' => 'None'"
OH-HB141-Y2019,Safety,"Limit photo-monitored traffic tickets to 2 times population. ","(NLU)'Police' => 'Safety', 'Local government' => 'None', 'Law' => 'None', 'Traffic law' => 'Transportation', 'Road transport' => 'Transportation'"
OH-HB142-Y2019,Safety,"Limit revenue from photo-monitored traffic tickets to 30% total. ","(NLU)'Law' => 'None', 'Revenue' => 'None', 'Police' => 'Safety', 'Local government' => 'None', 'Traffic law' => 'Transportation'"
OH-HB143-Y2019,Healthcare,"Grant tax credit to volunteer police, fire, EMTs. ","(NLU)'Taxation in the United States' => 'None', 'Emergency medical services' => 'Healthcare', 'Tax' => 'None', 'Emergency medical technician' => 'Healthcare', 'Tax refund' => 'None'"
OH-HB144-Y2019,Healthcare,"Prohibit overtime work for nurses as a condition of employment. ","(NLU)'Nursing' => 'Healthcare', 'Patient' => 'Healthcare', 'Healthcare occupations' => 'Jobs', 'Health care' => 'Healthcare', 'Licensed practical nurse' => 'Healthcare'"
OH-HB145-Y2019,Safety,"Require Attorney General to establish an animal abuser registry. ","(NLU)'Criminal law' => 'None', 'Crime' => 'Safety', 'Law enforcement agency' => 'Safety', 'Federal Bureau of Investigation' => 'Safety', 'Public records' => 'None'"
OH-HB146-Y2019,Jobs,"Ban animal abuse offender from possessing companion animal. ","(NLU)'Misdemeanor' => 'None', 'Dog' => 'None', 'Felony' => 'None', 'Animal control officer' => 'Jobs', 'Crime' => 'Safety'"
OH-HB147-Y2019,Transportation,"Require Public Safety to place a seal on photo or digital image. ","(NLU)'Vehicle' => 'Transportation', 'Vehicles' => 'Transportation', 'Automobile' => 'Transportation', 'Motor vehicle' => 'Transportation', 'Road traffic safety' => 'Safety'"
OH-HB148-Y2019,Transportation,"Require drivers to yield to angled or parallel parkers. ","(NLU)'Parking' => 'Transportation', 'Criminal law' => 'None', 'Crime' => 'Safety', 'Road' => 'Transportation', 'Parking space' => 'Transportation'"
OH-HB149-Y2019,Safety,"Enact Affordable Homebuilding and Housing Act. ","(NLU)'Residential area' => 'Safety', 'Residential development' => 'Safety', 'Property' => 'None', 'Real estate' => 'None', 'Tax' => 'None'"
OH-HB150-Y2020,Jobs,"Reduce taxes on new banks and mortgage lenders. ","(NLU)'Tax' => 'None', 'Taxation in the United States' => 'None', 'Tax refund' => 'None', 'Internal Revenue Code' => 'Jobs', 'Limited liability company' => 'Jobs'"
OH-HB151-Y2020,Healthcare,"Affects chiropractors-loan repayment program/revise law. ","(NLU)'Chiropractic' => 'Healthcare', 'Health care' => 'Healthcare', 'Health care provider' => 'Healthcare', 'Veterinary chiropractic' => 'None', 'Patient' => 'Healthcare'"
OH-HB152-Y2019,None,"Requires subdivision to get ok from creating body to levy tax. ","(NLU)'Tax' => 'None', 'Election' => 'None', 'Taxation in the United States' => 'None', 'Property tax' => 'None', 'General election' => 'None'"
OH-HB153-Y2019,Jobs,"Declare county office vacant if fail to perform duties. ","(NLU)'County' => 'None', 'Legal professions' => 'Jobs', 'County commission' => 'None', 'Coroner' => 'None', 'County council' => 'None'"
OH-HB154-Y2019,None,"Dissolve and replace academic distress commissions. ","(NLU)'High school' => 'Education', 'School' => 'Education', 'School types' => 'Education', 'Secondary education' => 'Education', 'Superintendent' => 'None'"
OH-HB155-Y2019,None,"Prohibit removing war relic from public land or cemetery. ","(NLU)'United States' => 'Location', 'Ohio' => 'Location', 'United States Navy' => 'Military', 'United States Congress' => 'None', '2003 invasion of Iraq' => 'Military'"
OH-HB156-Y2019,Safety,"Grant nonprofit immunity for injury caused by carrying firearm. ","(NLU)'Firearm' => 'Safety', 'Concealed carry in the United States' => 'Safety', 'Criminal law' => 'None', 'Law enforcement officer' => 'Safety', 'Legal professions' => 'Jobs'"
OH-HB157-Y2019,Jobs,"Use surplus state revenue to fund protective and senior services. ","(NLU)'Fiscal year' => 'None', 'Taxation' => 'None', 'Revenue' => 'None', 'Income' => 'Jobs', 'Taxation in the United States' => 'None'"
OH-HB158-Y2020,Transportation,"Waive fee for indigent petitioning for limited driving privileges. ","(NLU)'Road transport' => 'Transportation', 'Automobile' => 'Transportation', 'Vehicle' => 'Transportation', 'Motor vehicle' => 'Transportation', 'Fallacy' => 'None'"
OH-HB159-Y2019,None,"Regulate indemnity provisions in public works design contracts. ","(NLU)'Insurance' => 'None', 'Liability insurance' => 'None', 'Contract law' => 'None', 'Indemnity' => 'None'"
OH-HB16-Y2020,None,"Grant state college residency status to military and dependents. ","(NLU)'University' => 'Education', 'United States' => 'Location', 'Higher education' => 'Education', 'Education' => 'Education', 'Community college' => 'Education'"
OH-HB160-Y2020,Jobs,"Revise alcoholic ice cream law. ","(NLU)'Liquor store' => 'None', 'Food industry' => 'Jobs', 'Alcoholic beverage' => 'Healthcare', 'Township' => 'None', 'Food processing' => 'Jobs'"
OH-HB161-Y2019,Healthcare,"Expand penalties for abuse of corpse offenses. ","(NLU)'Penalty' => 'None', 'Epistemology' => 'Healthcare', 'Law' => 'None'"
OH-HB162-Y2019,Jobs,"Increase overall cap on motion picture tax credit. ","(NLU)'Taxation in the United States' => 'None', 'Taxation' => 'None', 'Filmmaking' => 'Jobs', 'Taxation in the United Kingdom' => 'None', 'Film' => 'None'"
OH-HB163-Y2020,None,"Withhold funds-municipal water/sewer extraterritorial practices. ","(NLU)'Local government' => 'None', 'Local government in the United States' => 'None', 'Town' => 'None', 'Township' => 'None', 'Fiscal year' => 'None'"
OH-HB164-Y2020,None,"Regards student religious expression. ","(NLU)'High school' => 'Education', 'School types' => 'Education', 'Secondary education' => 'Education', 'School' => 'Education', 'Public school' => 'Education'"
OH-HB165-Y2019,Safety,"Regards adoption of health education standards. ","(NLU)'United States' => 'Location', 'Adoption' => 'Safety', 'School' => 'Education', 'Health education' => 'Healthcare', 'Statutory law' => 'None'"
OH-HB166-Y2019,Jobs,"Creates FY 2020-2021 operating budget. ","(NLU)'Government agency' => 'None', 'Computer file' => 'None', 'Member of Parliament' => 'None', 'Ethics' => 'None', 'Chief executive officer' => 'Jobs'"
OH-HB167-Y2019,Healthcare,"Modify certain workers- compensation benefits and claim processes. ","(NLU)'Pulmonology' => 'Healthcare', 'Medicine' => 'Healthcare', 'Lung' => 'Healthcare', 'Respiratory physiology' => 'Healthcare', 'Asbestos' => 'Safety'"
OH-HB168-Y2020,Environment,"Establish affirmative defense-certain hazardous substance release. ","(NLU)'Affirmative defense' => 'None', 'Property' => 'None', 'Hazardous waste' => 'Environment', 'Pleading' => 'None', 'Christopher Nolan' => 'Healthcare'"
OH-HB169-Y2019,None,"Require state/local authorities to cooperate on immigration. ","(NLU)'United States' => 'Location', 'Supreme Court of the United States' => 'None', 'Local government' => 'None', 'United States Congress' => 'None', 'Federal government of the United States' => 'None'"
OH-HB17-Y2020,Safety,"Enhance homestead exemption-spouse of killed safety officer. ","(NLU)'Tax' => 'None', 'Taxation in the United States' => 'None', 'Property' => 'None', 'Mobile home' => 'Safety', 'Property tax' => 'None'"
OH-HB170-Y2019,None,"Require Treasurer administer Pay for Success Contracting Program. ","(NLU)'Contract' => 'None', 'Government agency' => 'None', 'Federal agency' => 'None', 'Contractual term' => 'None', 'Agency' => 'None'"
OH-HB171-Y2019,Transportation,"Designate Trucks Bridge. ","(NLU)'Road' => 'Transportation', 'Legislature' => 'None', 'Michigan' => 'Location', 'Ohio' => 'Location', 'Ontario' => 'Location'"
OH-HB172-Y2019,None,"Regards self-service storage facilities. ","(NLU)'Property' => 'None', 'Real estate' => 'None', 'Property law' => 'None', 'Lien' => 'None', 'Address' => 'None'"
OH-HB173-Y2019,None,"Designate All-American Soap Box Derby official gravity racing. ","(NLU)'Akron, Ohio' => 'Location', 'Ohio' => 'Location', 'United States House of Representatives' => 'None', 'Legislature' => 'None', 'Compiler' => 'None'"
OH-HB174-Y2019,Safety,"Modifies weapons law, including concealed carry changes. ","(NLU)'Firearm' => 'Safety', 'Concealed carry in the United States' => 'Safety', 'Gun politics' => 'Safety', 'Gun laws in the United States' => 'Safety', 'Vermont' => 'Location'"
OH-HB175-Y2019,Jobs,"Exempt from sales tax things used to move completed products. ","(NLU)'Real estate' => 'None', 'Tax exemption' => 'None', 'Real property' => 'None', 'Internal Revenue Code' => 'Jobs', 'Personal property' => 'None'"
OH-HB176-Y2019,None,"Make public certain convention and visitors- bureaus records. ","(NLU)'Board of directors' => 'None', 'Meetings' => 'None', 'Trustee' => 'None', 'Management' => 'None', 'Fiduciary' => 'None'"
OH-HB177-Y2019,Healthcare,"Regards standard care arrangements and prescribing requirements. ","(NLU)'Nursing' => 'Healthcare', 'Registered nurse' => 'Healthcare', 'Nurse practitioner' => 'Healthcare', 'Health care' => 'Healthcare', 'Healthcare occupations' => 'Jobs'"
OH-HB178-Y2019,Safety,"Modifies weapons law; permit concealed carry without license. ","(NLU)'Firearm' => 'Safety', 'Concealed carry in the United States' => 'Safety', 'Gun politics' => 'Safety', 'Gun laws in the United States' => 'Safety', 'Vermont' => 'Location'"
OH-HB179-Y2019,Jobs,"Exempt small wineries from retail food establishment licensing. ","(NLU)'Food' => 'None', 'Food industry' => 'Jobs', 'Food processing' => 'Jobs', 'Honey' => 'None', 'Apple' => 'Jobs'"
OH-HB18-Y2020,Jobs,"Exempt veterans disability severance pay from income tax. ","(NLU)'Income tax in the United States' => 'Jobs', 'Taxation in the United States' => 'None', 'Tax' => 'None', 'Internal Revenue Code' => 'Jobs', 'Tax refund' => 'None'"
OH-HB180-Y2019,Safety,"Prohibit performance in which child simulates sexual activity. ","(NLU)'Plea' => 'None', 'Arraignment' => 'None', 'Crime' => 'Safety', 'Misdemeanor' => 'None', 'Felony' => 'None'"
OH-HB181-Y2019,Healthcare,"Promote use of Ohio agricultural goods in alcoholic beverages. ","(NLU)'Alcoholic beverage' => 'Healthcare', 'Computer program' => 'None', 'Agriculture' => 'Jobs', 'Program' => 'None', 'Distilled beverage' => 'Healthcare'"
OH-HB182-Y2019,Healthcare,"Prohibit offering insurance for abortion services. ","(NLU)'Pregnancy' => 'Healthcare', 'Law enforcement agency' => 'Safety', 'Police' => 'Safety', 'Insurance' => 'None', 'Federal Bureau of Investigation' => 'Safety'"
OH-HB183-Y2019,Jobs,"Allow tax credits to assist beginning farmers. ","(NLU)'Taxation in the United States' => 'None', 'Tax' => 'None', 'Earned Income Tax Credit' => 'Jobs', 'Negative income tax' => 'Jobs', 'Tax credits' => 'None'"
OH-HB184-Y2019,Healthcare,"Regards contraceptives and services for sexual assault victims. ","(NLU)'Sexually transmitted disease' => 'Healthcare', 'High school' => 'Education', 'Human sexual behavior' => 'Healthcare', 'AIDS' => 'Healthcare', 'Human sexuality' => 'Healthcare'"
OH-HB185-Y2019,Safety,"Require JobsOhio records and meetings to be open to the public. ","(NLU)'Law enforcement agency' => 'Safety', 'Public' => 'None', 'Certified Public Accountant' => 'None', 'Public records' => 'None', 'Public utility' => 'Environment'"
OH-HB186-Y2019,Environment,"Regards rail yard safety, train operations, and road obstruction. ","(NLU)'Level crossing' => 'None', 'Public utility' => 'Environment', 'Rail transport' => 'Transportation', 'Misdemeanor' => 'None', 'Fiscal year' => 'None'"
OH-HB187-Y2019,None,"Prohibits voting on local tax proposals in August election. ","(NLU)'Property tax' => 'None', 'Taxation' => 'None', 'Taxation in the United States' => 'None', 'Ad valorem tax' => 'Unknown', 'General election' => 'None'"
OH-HB188-Y2020,Safety,"Prohibit blindness from denying or limiting care of minor. ","(NLU)'Wadge hierarchy' => 'None', 'Adoption' => 'Safety', 'Jury' => 'None', 'Parenting' => 'Safety', 'Family law' => 'None'"
OH-HB189-Y2019,None,"Revise laws governing amusement ride operation and safety. ","(NLU)'Inspection' => 'None', 'Pre-shipment inspection' => 'None', 'Amusement rides' => 'None'"
OH-HB19-Y2019,Jobs,"Exempt feminine hygiene products from sales tax. ","(NLU)'Real estate' => 'None', 'Tax exemption' => 'None', 'Real property' => 'None', 'Internal Revenue Code' => 'Jobs', 'Personal property' => 'None'"
OH-HB190-Y2019,Jobs,"Create Broadband Development Grant Program/DOT help laying cable. ","(NLU)'Broadband Internet access' => 'Jobs', 'Internet service provider' => 'None', 'Internet' => 'Jobs', 'Wi-Fi' => 'Jobs', 'Service provider' => 'None'"
OH-HB191-Y2019,Transportation,"Designate SGT Charles Gregory Huston Memorial Highway. ","(NLU)'U.S. Route 66' => 'Transportation', 'United States House of Representatives' => 'None', 'Houston' => 'Location', 'Legislature' => 'None', 'Road' => 'Transportation'"
OH-HB192-Y2019,Transportation,"Designate memorial highway for PFC, CPL, and SGT Boggs. ","(NLU)'United States' => 'Location', 'Road' => 'Transportation', 'Motorway' => 'Transportation', 'Freeway' => 'Transportation', 'Autobahn' => 'Transportation'"
OH-HB193-Y2019,Jobs,"Expand tax deduction for contributions to 529 education plans. ","(NLU)'Income tax in the United States' => 'Jobs', 'Taxation in the United States' => 'None', 'Tax' => 'None', 'Internal Revenue Code' => 'Jobs', 'Taxation' => 'None'"
OH-HB194-Y2020,Safety,"Legalize and regulate sports gaming/tax sports gaming businesses. ","(NLU)'Video Lottery Terminal' => 'None', 'Criminal law' => 'None', 'Federal Bureau of Investigation' => 'Safety', 'Crime' => 'Safety', 'Lottery' => 'None'"
OH-HB195-Y2019,None,"Designate Women Veterans- Day-June 12. ","(NLU)'Legislature' => 'None', 'Ohio' => 'Location', 'Cleveland Browns' => 'None', 'The Twelfth' => 'None', 'Statutory law' => 'None'"
OH-HB196-Y2019,None,"Exempts from sales tax membership to gyms operated by a nonprofit. ","(NLU)'Real property' => 'None', 'Real estate' => 'None', 'Personal property' => 'None', 'Service provider' => 'None', 'Service of process' => 'None'"
OH-HB197-Y2020,Environment,"Make technical and corrective changes to tax law. ","(NLU)'Tax' => 'None', 'Biodiesel' => 'Environment', 'Money' => 'Jobs', 'Stock' => 'None', 'Petroleum' => 'Environment'"
OH-HB198-Y2019,Safety,"Regards support payments under Ohio Works First. ","(NLU)'Child support' => 'Safety', 'Family law' => 'None', 'Child support in the United States' => 'Safety', 'Ohio' => 'Location', 'Household income in the United States' => 'Jobs'"
OH-HB199-Y2020,Jobs,"Licenses commercial roofing contractors. ","(NLU)'Construction' => 'Jobs', 'HVAC' => 'None', 'Town' => 'None', 'Building' => 'None', 'Unincorporated area' => 'Safety'"
OH-HB2-Y2019,Jobs,"Create TechCred and Microcredential Assistance Programs. ","(NLU)'Fiscal year' => 'None', 'Development aid' => 'None', 'Source code' => 'None', 'Training' => 'Jobs', 'Programming language' => 'Jobs'"
OH-HB20-Y2019,None,"Prohibit homeowner associations placing limits on solar panels. ","(NLU)'Property' => 'None', 'Real estate' => 'None', 'Title' => 'None', 'Ownership' => 'None', 'Easement' => 'None'"
OH-HB200-Y2019,Healthcare,"Regards Supplemental Nutrition Assistance benefit eligibility. ","(NLU)'Family' => 'None', 'United States Code' => 'None', 'United States' => 'Location', 'Nutrition' => 'Healthcare', 'Health' => 'Healthcare'"
OH-HB201-Y2019,Jobs,"Creates Ohio DeMolay license plate. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Internal Revenue Code' => 'Jobs', 'Charitable organization' => 'None', 'Non-profit organization' => 'Jobs'"
OH-HB202-Y2019,Environment,"Establishes Electric Vehicle Infrastructure Study Committee. ","(NLU)'Public utility' => 'Environment', 'Internal combustion engine' => 'Transportation', 'United States House of Representatives' => 'None', 'Ohio' => 'Location', 'Electric vehicle' => 'Transportation'"
OH-HB203-Y2020,Healthcare,"Specifies requirements for mobile dental facility operations. ","(NLU)'Nursing' => 'Healthcare', 'Registered nurse' => 'Healthcare', 'Dentistry' => 'Healthcare', 'Healthcare occupations' => 'Jobs', 'Dental hygienist' => 'Healthcare'"
OH-HB204-Y2019,None,"Requires new voting systems to use paper ballots. ","(NLU)'Elections' => 'None', 'Voting system' => 'None', 'Vote counting system' => 'None', 'Election' => 'None', 'DRE voting machine' => 'None'"
OH-HB205-Y2019,Healthcare,"Expands immunity for obtaining assistance for drug overdose. ","(NLU)'Felony' => 'None', 'Misdemeanor' => 'None', 'Cannabis' => 'Healthcare', 'Drugs' => 'Healthcare', 'Drug control law' => 'Healthcare'"
OH-HB206-Y2019,Jobs,"Enhance tax credit for family adoptions. ","(NLU)'Taxation in the United States' => 'None', 'Taxation' => 'None', 'Progressive tax' => 'None', 'Tax' => 'None', 'Internal Revenue Code' => 'Jobs'"
OH-HB207-Y2019,Transportation,"Designate SGT Alex Drabik Memorial Highway. ","(NLU)'Interstate Highway System' => 'Transportation', 'Freeway' => 'Transportation', 'New York State Thruway' => 'Transportation', 'Autobahn' => 'Transportation', 'Texas' => 'Location'"
OH-HB208-Y2020,Healthcare,"Increase penalty for assault if victim a sports official. ","(NLU)'Health care' => 'Healthcare', 'Crime' => 'Safety', 'Health care provider' => 'Healthcare', 'Criminal justice' => 'None', 'Criminal law' => 'None'"
OH-HB209-Y2019,Safety,"Abolish estate by dower. ","(NLU)'Death' => 'Safety', 'Estate' => 'None', 'Property law' => 'None', 'Marriage' => 'None', 'Dower' => 'None'"
OH-HB21-Y2019,Jobs,"Regards unemployment comp when mass layoff. ","(NLU)'Unemployment' => 'Jobs', 'Unemployment benefits' => 'Jobs', 'Employment' => 'Jobs', 'Ghent system' => 'Jobs'"
