key,chosen_impact,title,summary,relevance
OH-HB112-Y2019,None,"Permit vendors to receive sales tax refund for certain bad debts. ","To amend section of the Revised Code to allow vendors to receive a refund of sales tax remitted for certain bad debts charged off as uncollectible by credit account lenders. ","(NLU)'Tax refund' => 'None', 'Tax' => 'None', 'Debt' => 'None', 'Taxation in the United States' => 'None', 'Accounts receivable' => 'Unknown'"
OH-HB113-Y2019,Transportation,"Prohibit towing service from employing spotters. ","To amend section of the Revised Code to prohibit a private towing service from employing or compensating spotters. ","(NLU)'Property' => 'None', 'Vehicle' => 'Transportation', 'Property law' => 'None', 'Ownership' => 'None', 'Automobile' => 'Transportation'"
OH-HB114-Y2019,Jobs,"Remove restriction on earned income tax credit; make refundable. ","To amend sections of the Revised Code to remove the income restriction on the earned income tax credit and to make the credit refundable. ","(NLU)'Taxation in the United States' => 'None', 'Tax' => 'None', 'Tax refund' => 'None', 'Earned Income Tax Credit' => 'Jobs', 'Income tax in the United States' => 'Jobs'"
OH-HB115-Y2019,None,"Require agencies to reduce regulatory restrictions. ","To amend sections and to enact sections of the Revised Code to require certain agencies to reduce the number of regulatory restrictions and to amend the versions of sections of the Revised Code that are scheduled to take effect August 18, 2019, to continue the provision of this act on and after that effective date. ","(NLU)'Law' => 'None', 'Agency' => 'None', 'Administrative law' => 'None', 'State' => 'None', 'Government agency' => 'None'"
OH-HB116-Y2019,None,"Appropriate money for transportation planning and research. ","To make an appropriation related to transportation planning and research. ","(NLU)'Appropriation' => 'None', 'Fiscal year' => 'None', 'Appropriation' => 'None', 'United States House of Representatives' => 'None', 'United States Congress' => 'None'"
OH-HB117-Y2019,None,"Designate Frank Robinson Day. ","To enact section of the Revised Code to designate August 31 as _Frank Robinson Day._. ","(NLU)'Major League Baseball' => 'None', 'Baseball' => 'None', 'Cleveland Indians' => 'None', 'San Francisco Giants' => 'None', 'Ohio' => 'Location'"
OH-HB118-Y2019,Transportation,"Regards student transportation to and from school. ","To enact sections of the Revised Code regarding student transportation to and from school. ","(NLU)'Education' => 'Education', 'High school' => 'Education', 'Road' => 'Transportation', 'Student' => 'Education', 'Transport Layer' => 'None'"
OH-HB119-Y2019,Transportation,"Regards traffic law violations. ","To amend sections of the Revised Code to make corrective changes to the distracted driving and texting-while-driving law and to add the offenses of failure to control and passing a stopped school bus to the distracted driving law. ","(NLU)'Bluetooth' => 'None', 'Wireless' => 'None', 'Wireless network' => 'None', 'School bus' => 'Transportation', 'History of radio' => 'None'"
OH-HB12-Y2019,Healthcare,"Create Children-s Behavioral Health Prevention Network Group. ","To create the Ohio Children-s Behavioral Health Prevention Network Stakeholder Group. ","(NLU)'Health care' => 'Healthcare', 'Health economics' => 'Healthcare', 'Mental health' => 'Healthcare', 'Health insurance' => 'Healthcare', 'Psychology' => 'Healthcare'"
OH-HB120-Y2019,None,"Designate July as Hank Kabel Sarcoma Awareness Month. ","To enact section of the Revised Code to designate July as _Hank Kabel Sarcoma Awareness Month._. ","(NLU)'Legislatures' => 'None', 'Legislature' => 'None', 'Ohio' => 'Location', 'Akron, Ohio' => 'Location', 'United States House of Representatives' => 'None'"
OH-HB121-Y2019,Jobs,"Allow tax credit for teacher purchase of instructional materials. ","To amend sections and to enact section of the Revised Code to allow a credit against the personal income tax for amounts spent by teachers for instructional materials. ","(NLU)'Taxation in the United States' => 'None', 'Tax' => 'None', 'Tax refund' => 'None', 'Income tax' => 'Jobs', 'Progressive tax' => 'None'"
OH-HB122-Y2019,None,"Create Opportunity Scholarship Program; eliminate pilot programs. ","To amend ; to enact new ; and to repeal sections of the Revised Code to eliminate the Educational Choice Scholarship Pilot Program and Pilot Project Scholarship Program and to create the Opportunity Scholarship Program. ","(NLU)'High school' => 'Education', 'School types' => 'Education', 'Assessment' => 'None', 'Educational years' => 'Education', 'Fourth grade' => 'Education'"
OH-HB123-Y2020,None,"Regards school security and youth suicide awareness/training. ","To amend ; to amend, for the purpose of adopting a new section number as indicated in parentheses, ; and to enact sections of the Revised Code and to amend Sections , as subsequently amended, of H.B. 166 of the 133rd General Assembly to enact the _Safety and Violence Education Students (SAVE Students) Act_ regarding school security and youth suicide awareness education and training, to specify which public schools are eligible for school safety training grants, to establish, for fiscal year 2021, a pilot program to provide additional funding for students enrolled in grades eight through twelve in certain internet- or computer-based community schools in which a majority of the students were enrolled in a dropout prevention and recovery program for the 2019-2020 school year, to earmark an appropriation, and to declare an emergency. ","(NLU)'High school' => 'Education', 'School types' => 'Education', 'Secondary education' => 'Education', 'School district' => 'Education', 'School' => 'Education'"
OH-HB124-Y2019,Jobs,"Allow small livestock on residential property. ","To amend sections and to enact section of the Revised Code to allow an owner of residential property to keep small livestock on the property and to prohibit zoning authorities from regulating certain noncommercial agricultural activities on residential property. ","(NLU)'Real estate' => 'None', 'Agriculture' => 'Jobs', 'Livestock' => 'Jobs', 'Methane' => 'Environment', 'Property' => 'None'"
OH-HB125-Y2019,Transportation,"Require Second Chance Trust Fund inquiry when register vehicle. ","To amend section to enact section and to repeal sections of the Revised Code to require the Registrar of Motor Vehicles and Deputy Registrars to ask each person renewing a motor vehicle registration to contribute to the Second Chance Trust Fund. ","(NLU)'Vehicle' => 'Transportation', 'Ohio' => 'Location', 'Vehicles' => 'Transportation', 'Automobile' => 'Transportation', 'Motor vehicle' => 'Transportation'"
OH-HB126-Y2019,None,"Bar one-subject challenge more than 275 days after effective date. ","To enact section of the Revised Code to bar an action challenging an act for violation of the one-subject rule if it is commenced later than 275 days after the act-s effective date. ","(NLU)'Ohio' => 'Location', 'Veto' => 'None', 'United States House of Representatives' => 'None', 'Akron, Ohio' => 'Location', 'Legislature' => 'None'"
OH-HB127-Y2019,None,"Prohibit new academic distress commissions. ","To enact section of the Revised Code to prohibit the creation of new academic distress commissions. ","(NLU)'Ohio' => 'Location', 'Assembly language' => 'None', 'U.S. Securities and Exchange Commission' => 'None', 'The Creation of Adam' => 'None', 'Legislature' => 'None'"
OH-HB128-Y2019,Safety,"Modify penalties for soliciting. ","To amend sections of the Revised Code to modify the penalties for certain soliciting offenses and to specify that an imposed fine may be deposited into the Victims of Human Trafficking Fund. ","(NLU)'Inchoate offense' => 'Safety', 'Misdemeanor' => 'None', 'Solicitation' => 'None', 'Crimes' => 'Safety', 'Felony' => 'None'"
OH-HB129-Y2020,Safety,"Permit wearing hearing protection while riding motorcycle. ","To amend section of the Revised Code to permit a person to wear earphones or earplugs for hearing protection while operating a motorcycle. ","(NLU)'Crime' => 'Safety', 'Automobile' => 'Transportation', 'Hearing' => 'Healthcare', 'Headgear' => 'None', 'Ear' => 'Healthcare'"
OH-HB13-Y2020,Jobs,"Establish residential broadband expansion program. ","To amend sections and to enact sections of the Revised Code regarding broadband expansion, including access to electric cooperative easements and facilities and railroad rights of way, to repeal sections of the Revised Code on the date that is three years after the act-s effective date, and to make an appropriation. ","(NLU)'Project management' => 'Jobs', 'Broadband' => 'Jobs', 'Broadband Internet access' => 'Jobs', 'Service' => 'None', 'Computer program' => 'None'"
OH-HB130-Y2019,Jobs,"Create La Salle High School license plate. ","To amend section and to enact section of the Revised Code to create the _La Salle High School_ License Plate. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Internal Revenue Code' => 'Jobs', 'Charitable organization' => 'None', 'Non-profit organization' => 'Jobs'"
OH-HB131-Y2019,Healthcare,"Regards debt adjusting. ","To amend ; to amend, for the purpose of adopting new section numbers as indicated in parentheses, ; to enact ; and to repeal section of the Revised Code regarding debt adjusting. ","(NLU)'Debt' => 'None', 'Drug control law' => 'Healthcare', 'Felony' => 'None', 'Debtor' => 'None', 'Chemical compound' => 'Unknown'"
OH-HB132-Y2019,None,"Regards school immunization requirements/exemptions. ","To amend sections and to enact section of the Revised Code regarding notice of school child immunization requirements and exemptions. ","(NLU)'High school' => 'Education', 'School district' => 'Education', 'High school diploma' => 'Education', 'Academic term' => 'Education', 'Education' => 'Education'"
OH-HB133-Y2019,None,"Issue temporary occupational license if in Ohio for active duty. ","To amend sections and to enact section of the Revised Code to require state occupational licensing agencies, under certain circumstances, to issue temporary licenses or certificates to members of the military and spouses who are licensed in another jurisdiction and have moved to Ohio for military duty. ","(NLU)'Licensure' => 'None', 'License' => 'None', 'Fiscal year' => 'None', 'Armed forces' => 'Military', 'Conscription' => 'None'"
OH-HB134-Y2019,Jobs,"Grant 3-day sales tax holiday for buying Energy Star products. ","To amend sections of the Revised Code to provide a three-day sales tax _holiday_ each March during which sales of qualifying Energy Star products are exempt from sales and use taxes. ","(NLU)'Tax exemption' => 'None', 'Real estate' => 'None', 'Real property' => 'None', 'Internal Revenue Code' => 'Jobs', 'Personal property' => 'None'"
OH-HB135-Y2019,Jobs,"Expand exemptions from sales tax during sales tax holiday. ","To amend section of the Revised Code to expand the class of products exempt from sales tax if bought during a sales tax holiday. ","(NLU)'Tax exemption' => 'None', 'Real estate' => 'None', 'Real property' => 'None', 'Internal Revenue Code' => 'Jobs', 'Personal property' => 'None'"
OH-HB136-Y2020,Safety,"Prohibit death penalty if mentally ill at time of offense. ","To amend sections and to enact section of the Revised Code to prohibit imposing the death penalty for aggravated murder when the offender had a serious mental illness at the time of the offense. ","(NLU)'Criminal law' => 'None', 'Jury' => 'None', 'Crime' => 'Safety', 'Murder' => 'Safety', 'Legal terms' => 'None'"
OH-HB137-Y2019,Jobs,"Provide earnings and deductions statements to employees. ","To enact section of the Revised Code to require an employer to provide earnings and deductions statements to each of the employer-s employees. ","(NLU)'Employment' => 'Jobs', 'Wage' => 'Jobs', 'Working class' => 'Jobs', 'Minimum wage' => 'Jobs'"
OH-HB138-Y2019,None,"Increase assessment cost for which must give notice. ","To amend section of the Revised Code to increase from $250 to $500 the estimated cost of certain special assessments for which a municipal corporation must provide notice to affected property owners. ","(NLU)'Property' => 'None', 'Ownership' => 'None', 'Assembly language' => 'None', 'Assessment' => 'None', 'The Passage' => 'None'"
OH-HB139-Y2019,Safety,"Prohibit locals from traffic photo-monitoring if no fire/EMS. ","To amend sections of the Revised Code to prohibit a municipal corporation or township that does not operate either a fire department or an emergency medical services organization from utilizing traffic law photo-monitoring devices. ","(NLU)'Police' => 'Safety', 'Constable' => 'None', 'Emergency medical services' => 'Healthcare', 'Local government' => 'None', 'Law enforcement agency' => 'Safety'"
OH-HB14-Y2019,Safety,"Require a region-based kinship care navigator program. ","To amend ; to amend, for the purpose of adopting a new section number as indicated in parentheses, ; to enact new ; and to repeal section of the Revised Code to require a region-based kinship care navigator program and to make an appropriation. ","(NLU)'Family' => 'None', 'Appropriation' => 'None', 'Appropriation' => 'None', 'Consanguinity' => 'None', 'Orphanage' => 'Safety'"
OH-HB140-Y2019,Safety,"Prohibit small locals from traffic photo-monitoring. ","To amend section of the Revised Code to prohibit a local authority with a population of 200 or fewer from utilizing traffic law photo-monitoring devices. ","(NLU)'Police' => 'Safety', 'Local government' => 'None', 'Law' => 'None', 'Traffic' => 'Transportation', 'Section' => 'None'"
OH-HB141-Y2019,Safety,"Limit photo-monitored traffic tickets to 2 times population. ","To amend section of the Revised Code to prohibit a local authority, in any year, from issuing a total number of traffic tickets based on the use of traffic law photo-monitoring devices that exceeds two times the population of the local authority. ","(NLU)'Police' => 'Safety', 'Local government' => 'None', 'Law' => 'None', 'Traffic law' => 'Transportation', 'Road transport' => 'Transportation'"
OH-HB142-Y2019,Safety,"Limit revenue from photo-monitored traffic tickets to 30% total. ","To amend section of the Revised Code to prohibit a local authority from deriving more than 30 per cent of the total annual revenue of the local authority from the issuance of tickets for traffic law violations based on evidence recorded by traffic law photo-monitoring devices. ","(NLU)'Law' => 'None', 'Revenue' => 'None', 'Police' => 'Safety', 'Local government' => 'None', 'Traffic law' => 'Transportation'"
OH-HB143-Y2019,Healthcare,"Grant tax credit to volunteer police, fire, EMTs. ","To amend sections and to enact section of the Revised Code to grant income tax credits to persons who serve as volunteer peace officers, firefighters, or emergency medical technicians. ","(NLU)'Taxation in the United States' => 'None', 'Emergency medical services' => 'Healthcare', 'Tax' => 'None', 'Emergency medical technician' => 'Healthcare', 'Tax refund' => 'None'"
OH-HB144-Y2019,Healthcare,"Prohibit overtime work for nurses as a condition of employment. ","To amend section and to enact section of the Revised Code to prohibit a hospital from requiring a registered nurse or licensed practical nurse to work overtime as a condition of continued employment. ","(NLU)'Nursing' => 'Healthcare', 'Patient' => 'Healthcare', 'Healthcare occupations' => 'Jobs', 'Health care' => 'Healthcare', 'Licensed practical nurse' => 'Healthcare'"
OH-HB145-Y2019,Safety,"Require Attorney General to establish an animal abuser registry. ","To amend section and to enact sections of the Revised Code to require the Attorney General to establish an animal abuser registry. ","(NLU)'Criminal law' => 'None', 'Crime' => 'Safety', 'Law enforcement agency' => 'Safety', 'Federal Bureau of Investigation' => 'Safety', 'Public records' => 'None'"
OH-HB146-Y2019,Jobs,"Ban animal abuse offender from possessing companion animal. ","To amend sections and to enact section of the Revised Code to prohibit an animal abuse offender from owning, possessing, having custody of, or residing with a companion animal for a specified time period. ","(NLU)'Misdemeanor' => 'None', 'Dog' => 'None', 'Felony' => 'None', 'Animal control officer' => 'Jobs', 'Crime' => 'Safety'"
OH-HB147-Y2019,Transportation,"Require Public Safety to place a seal on photo or digital image. ","To amend sections of the Revised Code to require the Department of Public Safety, including the Bureau of Motor Vehicles, to place an image of the Bureau-s seal or emblem in a corner of a photograph or digital image of a person, under certain circumstances. ","(NLU)'Vehicle' => 'Transportation', 'Vehicles' => 'Transportation', 'Automobile' => 'Transportation', 'Motor vehicle' => 'Transportation', 'Road traffic safety' => 'Safety'"
OH-HB148-Y2019,Transportation,"Require drivers to yield to angled or parallel parkers. ","To amend section and to enact section of the Revised Code to require drivers to yield the right of way to any other vehicle that is parking in or exiting an angled or parallel parking space on a public road. ","(NLU)'Parking' => 'Transportation', 'Criminal law' => 'None', 'Crime' => 'Safety', 'Road' => 'Transportation', 'Parking space' => 'Transportation'"
OH-HB149-Y2019,Safety,"Enact Affordable Homebuilding and Housing Act. ","To enact section of the Revised Code to enact the _Affordable Homebuilding and Housing Act_ to temporarily exempt from property tax the increased value of land subdivided for residential development. ","(NLU)'Residential area' => 'Safety', 'Residential development' => 'Safety', 'Property' => 'None', 'Real estate' => 'None', 'Tax' => 'None'"
OH-HB150-Y2020,Jobs,"Reduce taxes on new banks and mortgage lenders. ","To amend sections of the Revised Code to reduce the tax liability of newly formed banks by up to one million dollars per year for their first three years and to exclude the principal balance of mortgage loans sold by a mortgage lender from the lender-s commercial activity tax gross receipts. ","(NLU)'Tax' => 'None', 'Taxation in the United States' => 'None', 'Tax refund' => 'None', 'Internal Revenue Code' => 'Jobs', 'Limited liability company' => 'Jobs'"
OH-HB151-Y2020,Healthcare,"Affects chiropractors-loan repayment program/revise law. ","To amend sections and to enact sections of the Revised Code to create the Chiropractic Loan Repayment Program and to revise certain laws administered by the State Chiropractic Board. ","(NLU)'Chiropractic' => 'Healthcare', 'Health care' => 'Healthcare', 'Health care provider' => 'Healthcare', 'Veterinary chiropractic' => 'None', 'Patient' => 'Healthcare'"
OH-HB152-Y2019,None,"Requires subdivision to get ok from creating body to levy tax. ","To amend sections and to enact sections of the Revised Code to require certain subdivisions to obtain the approval of the body that created the subdivision before levying a tax. ","(NLU)'Tax' => 'None', 'Election' => 'None', 'Taxation in the United States' => 'None', 'Property tax' => 'None', 'General election' => 'None'"
OH-HB153-Y2019,Jobs,"Declare county office vacant if fail to perform duties. ","To amend section of the Revised Code to modify the law regarding declaring a county office vacant for failure to perform duties, including failure to appear at the officer-s principle office location, and to designate this act the _Working Officials Requirements Key Act_ or _WORK Act._. ","(NLU)'County' => 'None', 'Legal professions' => 'Jobs', 'County commission' => 'None', 'Coroner' => 'None', 'County council' => 'None'"
OH-HB154-Y2019,None,"Dissolve and replace academic distress commissions. ","To amend ; to enact new ; and to repeal sections of the Revised Code; and to repeal Sections 4, 5, and 6 of Am. Sub. H.B. 70 of the 131st General Assembly to dissolve academic distress commissions and to instead require improvement plans for certain low-performing school buildings. ","(NLU)'High school' => 'Education', 'School' => 'Education', 'School types' => 'Education', 'Secondary education' => 'Education', 'Superintendent' => 'None'"
OH-HB155-Y2019,None,"Prohibit removing war relic from public land or cemetery. ","To amend sections and to enact section of the Revised Code to prohibit a war relic located on public property or cemetery association property from being sold, disturbed, or otherwise disposed of, except under certain circumstances, and to designate this act as the _Ohio Veterans- Heritage Protection Act._. ","(NLU)'United States' => 'Location', 'Ohio' => 'Location', 'United States Navy' => 'Military', 'United States Congress' => 'None', '2003 invasion of Iraq' => 'Military'"
OH-HB156-Y2019,Safety,"Grant nonprofit immunity for injury caused by carrying firearm. ","To amend section of the Revised Code to grant civil immunity to nonprofit corporations and persons associated with them for certain injuries, deaths, or losses resulting from the carrying of handguns. ","(NLU)'Firearm' => 'Safety', 'Concealed carry in the United States' => 'Safety', 'Criminal law' => 'None', 'Law enforcement officer' => 'Safety', 'Legal professions' => 'Jobs'"
OH-HB157-Y2019,Jobs,"Use surplus state revenue to fund protective and senior services. ","To amend sections and to enact section of the Revised Code to use some surplus state revenue to help counties fund adult protective and senior services. ","(NLU)'Fiscal year' => 'None', 'Taxation' => 'None', 'Revenue' => 'None', 'Income' => 'Jobs', 'Taxation in the United States' => 'None'"
OH-HB158-Y2020,Transportation,"Waive fee for indigent petitioning for limited driving privileges. ","To amend section of the Revised Code to waive the fee for filing a petition for limited driving privileges for an individual who qualifies as indigent and whose license is suspended as a result of failure to maintain proof of financial responsibility, and to authorize a court to grant such limited driving privileges on a first offense. ","(NLU)'Road transport' => 'Transportation', 'Automobile' => 'Transportation', 'Vehicle' => 'Transportation', 'Motor vehicle' => 'Transportation', 'Fallacy' => 'None'"
OH-HB159-Y2019,None,"Regulate indemnity provisions in public works design contracts. ","To enact section of the Revised Code to regulate the use of indemnity provisions in professional design contracts related to public improvements. ","(NLU)'Insurance' => 'None', 'Liability insurance' => 'None', 'Contract law' => 'None', 'Indemnity' => 'None'"
OH-HB16-Y2020,None,"Grant state college residency status to military and dependents. ","To amend section of the Revised Code to grant residency status for in-state college tuition to active duty military service members and their spouses and dependents. ","(NLU)'University' => 'Education', 'United States' => 'Location', 'Higher education' => 'Education', 'Education' => 'Education', 'Community college' => 'Education'"
OH-HB160-Y2020,Jobs,"Revise alcoholic ice cream law. ","To amend sections of the Revised Code to revise certain provisions of the liquor control laws and to declare an emergency. ","(NLU)'Liquor store' => 'None', 'Food industry' => 'Jobs', 'Alcoholic beverage' => 'Healthcare', 'Township' => 'None', 'Food processing' => 'Jobs'"
OH-HB161-Y2019,Healthcare,"Expand penalties for abuse of corpse offenses. ","To amend section of the Revised Code to increase the penalty for abuse of a corpse under certain circumstances. ","(NLU)'Penalty' => 'None', 'Epistemology' => 'Healthcare', 'Law' => 'None'"
OH-HB162-Y2019,Jobs,"Increase overall cap on motion picture tax credit. ","To amend section of the Revised Code to increase the overall cap on the motion picture tax credit from $40 million per fiscal year to $100 million per fiscal biennium. ","(NLU)'Taxation in the United States' => 'None', 'Taxation' => 'None', 'Filmmaking' => 'Jobs', 'Taxation in the United Kingdom' => 'None', 'Film' => 'None'"
OH-HB163-Y2020,None,"Withhold funds-municipal water/sewer extraterritorial practices. ","To amend sections and to enact sections of the Revised Code to create a process for withholding local government funds and state water and sewer assistance from municipal corporations that engage in certain water and sewer practices with respect to extraterritorial service. ","(NLU)'Local government' => 'None', 'Local government in the United States' => 'None', 'Town' => 'None', 'Township' => 'None', 'Fiscal year' => 'None'"
OH-HB164-Y2020,None,"Regards student religious expression. ","To amend sections and to enact sections of the Revised Code and to amend Sections of H.B. 166 of the 133rd General Assembly, as subsequently amended, Sections 16 and 17 of H.B. 197 of the 133rd General Assembly, and Section 7 of S.B. 216 of the 132nd General Assembly regarding student religious expression, regarding retention under the Third Grade Reading Guarantee for the 2020-2021 school year, to make changes to education law for the 2020-2021 school year in response to implications of COVID-19, to require the Department of Education to make an additional payment in fiscal year 2020 or 2021 to certain city, local, exempted village, and joint vocational school districts that experience a decrease in the taxable value of the district-s utility tangible personal property and have at least one power plant in their territories, to permit a person to serve on more than five community school governing authorities under certain conditions, to extend until November 30, 2022, the moratorium on the building code requirement for storm shelters for school construction projects, to make changes regarding the Quality Community School Support Program, to provide an additional payment for fiscal year 2020 to school districts that experience a specified reduction in funding, to entitle the act the _Ohio Student Religious Liberties Act of 2019,_ to make an appropriation, and to declare an emergency. ","(NLU)'High school' => 'Education', 'School types' => 'Education', 'Secondary education' => 'Education', 'School' => 'Education', 'Public school' => 'Education'"
OH-HB165-Y2019,Safety,"Regards adoption of health education standards. ","To enact new section and to repeal section of the Revised Code regarding the adoption of health education standards. ","(NLU)'United States' => 'Location', 'Adoption' => 'Safety', 'School' => 'Education', 'Health education' => 'Healthcare', 'Statutory law' => 'None'"
OH-HB166-Y2019,Jobs,"Creates FY 2020-2021 operating budget. ","To amend ; to amend, for the purpose of adopting new section numbers as indicated in parentheses, ; to enact new sections , and ; to repeal sections of the Revised Code; to repeal section of the Revised Code effective July 1, 2020; to amend sections and to enact section of the Revised Code; to amend sections of the Revised Code; to present section of the Revised Code to confirm its harmonization; to amend Section of H.B. 62 of the 133rd General Assembly, to amend Section of H.B. 49 of the 132nd General Assembly, to amend Section of H.B. 49 of the 132nd General Assembly, as subsequently amended, to amend Section 1 of H.B. 336 of the 132nd General Assembly, to amend Sections of H.B. 529 of the 132nd General Assembly, to amend Sections of H.B. 529 of the 132nd General Assembly, as subsequently amended, to amend Section 5 of H.B. 410 of the 131st General Assembly, to amend Sections of H.B. 59 of the 130th General Assembly, as subsequently amended, to make operating appropriations for the biennium beginning July 1, 2019, and ending June 30, 2021, to levy a tax on nicotine vapor products, and to provide authorization and conditions for the operation of state programs. ","(NLU)'Government agency' => 'None', 'Computer file' => 'None', 'Member of Parliament' => 'None', 'Ethics' => 'None', 'Chief executive officer' => 'Jobs'"
OH-HB167-Y2019,Healthcare,"Modify certain workers- compensation benefits and claim processes. ","To amend sections and to enact sections to of the Revised Code to modify workers- compensation benefit amounts for occupational pneumoconiosis claims and to create the Occupational Pneumoconiosis Board to determine medical findings for such claims. ","(NLU)'Pulmonology' => 'Healthcare', 'Medicine' => 'Healthcare', 'Lung' => 'Healthcare', 'Respiratory physiology' => 'Healthcare', 'Asbestos' => 'Safety'"
OH-HB168-Y2020,Environment,"Establish affirmative defense-certain hazardous substance release. ","To amend sections and to enact section of the Revised Code to establish an affirmative defense to a release or threatened release of hazardous substances from a facility for certain bona fide prospective purchasers. ","(NLU)'Affirmative defense' => 'None', 'Property' => 'None', 'Hazardous waste' => 'Environment', 'Pleading' => 'None', 'Christopher Nolan' => 'Healthcare'"
